REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
BEL,TIME02,ADMRASTH,F,80-84Y,NUM,180
BEL,TIME02,ADMRASTH,F,85Y_OVER,NUM,93
BEL,TIME03,ADMRASTH,M,15-19Y,NUM,78
BEL,TIME03,ADMRASTH,M,20-24Y,NUM,89
BEL,TIME03,ADMRASTH,M,25-29Y,NUM,63
BEL,TIME03,ADMRASTH,M,30-34Y,NUM,110
BEL,TIME03,ADMRASTH,M,35-39Y,NUM,100
BEL,TIME03,ADMRASTH,M,40-44Y,NUM,123
BEL,TIME03,ADMRASTH,M,45-49Y,NUM,98
BEL,TIME03,ADMRASTH,M,50-54Y,NUM,118
BEL,TIME03,ADMRASTH,M,55-59Y,NUM,101
BEL,TIME03,ADMRASTH,M,60-64Y,NUM,82
BEL,TIME03,ADMRASTH,M,65-69Y,NUM,111
BEL,TIME03,ADMRASTH,M,70-74Y,NUM,125
BEL,TIME03,ADMRASTH,M,75-79Y,NUM,89
BEL,TIME03,ADMRASTH,M,80-84Y,NUM,56
BEL,TIME03,ADMRASTH,M,85Y_OVER,NUM,18
BEL,TIME03,ADMRASTH,F,15-19Y,NUM,140
BEL,TIME03,ADMRASTH,F,20-24Y,NUM,132
BEL,TIME03,ADMRASTH,F,25-29Y,NUM,122
BEL,TIME03,ADMRASTH,F,30-34Y,NUM,161
BEL,TIME03,ADMRASTH,F,35-39Y,NUM,188
BEL,TIME03,ADMRASTH,F,40-44Y,NUM,163
BEL,TIME03,ADMRASTH,F,45-49Y,NUM,199
BEL,TIME03,ADMRASTH,F,50-54Y,NUM,169
BEL,TIME03,ADMRASTH,F,55-59Y,NUM,166
BEL,TIME03,ADMRASTH,F,60-64Y,NUM,159
BEL,TIME03,ADMRASTH,F,65-69Y,NUM,190
BEL,TIME03,ADMRASTH,F,70-74Y,NUM,243
BEL,TIME03,ADMRASTH,F,75-79Y,NUM,245
BEL,TIME03,ADMRASTH,F,80-84Y,NUM,221
BEL,TIME03,ADMRASTH,F,85Y_OVER,NUM,86
BEL,TIME04,ADMRASTH,M,15-19Y,NUM,76
BEL,TIME04,ADMRASTH,M,20-24Y,NUM,71
BEL,TIME04,ADMRASTH,M,25-29Y,NUM,68
BEL,TIME04,ADMRASTH,M,30-34Y,NUM,106
BEL,TIME04,ADMRASTH,M,35-39Y,NUM,107
BEL,TIME04,ADMRASTH,M,40-44Y,NUM,120
BEL,TIME04,ADMRASTH,M,45-49Y,NUM,84
BEL,TIME04,ADMRASTH,M,50-54Y,NUM,108
BEL,TIME04,ADMRASTH,M,55-59Y,NUM,74
BEL,TIME04,ADMRASTH,M,60-64Y,NUM,59
BEL,TIME04,ADMRASTH,M,65-69Y,NUM,97
BEL,TIME04,ADMRASTH,M,70-74Y,NUM,98
BEL,TIME04,ADMRASTH,M,75-79Y,NUM,78
BEL,TIME04,ADMRASTH,M,80-84Y,NUM,46
BEL,TIME04,ADMRASTH,M,85Y_OVER,NUM,12
BEL,TIME04,ADMRASTH,F,15-19Y,NUM,119
BEL,TIME04,ADMRASTH,F,20-24Y,NUM,121
BEL,TIME04,ADMRASTH,F,25-29Y,NUM,124
BEL,TIME04,ADMRASTH,F,30-34Y,NUM,137
BEL,TIME04,ADMRASTH,F,35-39Y,NUM,145
BEL,TIME04,ADMRASTH,F,40-44Y,NUM,165
BEL,TIME04,ADMRASTH,F,45-49Y,NUM,169
BEL,TIME04,ADMRASTH,F,50-54Y,NUM,178
BEL,TIME04,ADMRASTH,F,55-59Y,NUM,136
BEL,TIME04,ADMRASTH,F,60-64Y,NUM,143
BEL,TIME04,ADMRASTH,F,65-69Y,NUM,166
BEL,TIME04,ADMRASTH,F,70-74Y,NUM,215
BEL,TIME04,ADMRASTH,F,75-79Y,NUM,211
BEL,TIME04,ADMRASTH,F,80-84Y,NUM,201
BEL,TIME04,ADMRASTH,F,85Y_OVER,NUM,101
BEL,TIME05,ADMRASTH,M,15-19Y,NUM,92
BEL,TIME05,ADMRASTH,M,20-24Y,NUM,75
BEL,TIME05,ADMRASTH,M,25-29Y,NUM,72
BEL,TIME05,ADMRASTH,M,30-34Y,NUM,83
BEL,TIME05,ADMRASTH,M,35-39Y,NUM,101
BEL,TIME05,ADMRASTH,M,40-44Y,NUM,125
BEL,TIME05,ADMRASTH,M,45-49Y,NUM,123
BEL,TIME05,ADMRASTH,M,50-54Y,NUM,116
BEL,TIME05,ADMRASTH,M,55-59Y,NUM,105
BEL,TIME05,ADMRASTH,M,60-64Y,NUM,92
BEL,TIME05,ADMRASTH,M,65-69Y,NUM,116
BEL,TIME05,ADMRASTH,M,70-74Y,NUM,119
BEL,TIME05,ADMRASTH,M,75-79Y,NUM,121
BEL,TIME05,ADMRASTH,M,80-84Y,NUM,86
BEL,TIME05,ADMRASTH,M,85Y_OVER,NUM,28
BEL,TIME05,ADMRASTH,F,15-19Y,NUM,114
BEL,TIME05,ADMRASTH,F,20-24Y,NUM,113
BEL,TIME05,ADMRASTH,F,25-29Y,NUM,121
BEL,TIME05,ADMRASTH,F,30-34Y,NUM,159
BEL,TIME05,ADMRASTH,F,35-39Y,NUM,148
BEL,TIME05,ADMRASTH,F,40-44Y,NUM,175
BEL,TIME05,ADMRASTH,F,45-49Y,NUM,207
BEL,TIME05,ADMRASTH,F,50-54Y,NUM,193
BEL,TIME05,ADMRASTH,F,55-59Y,NUM,191
BEL,TIME05,ADMRASTH,F,60-64Y,NUM,132
BEL,TIME05,ADMRASTH,F,65-69Y,NUM,231
BEL,TIME05,ADMRASTH,F,70-74Y,NUM,277
BEL,TIME05,ADMRASTH,F,75-79Y,NUM,307
BEL,TIME05,ADMRASTH,F,80-84Y,NUM,260
BEL,TIME05,ADMRASTH,F,85Y_OVER,NUM,144
BEL,TIME06,ADMRASTH,M,15-19Y,NUM,97
BEL,TIME06,ADMRASTH,M,20-24Y,NUM,90
BEL,TIME06,ADMRASTH,M,25-29Y,NUM,87
BEL,TIME06,ADMRASTH,M,30-34Y,NUM,96
BEL,TIME06,ADMRASTH,M,35-39Y,NUM,114
BEL,TIME06,ADMRASTH,M,40-44Y,NUM,121
BEL,TIME06,ADMRASTH,M,45-49Y,NUM,112
BEL,TIME06,ADMRASTH,M,50-54Y,NUM,122
BEL,TIME06,ADMRASTH,M,55-59Y,NUM,145
BEL,TIME06,ADMRASTH,M,60-64Y,NUM,117
BEL,TIME06,ADMRASTH,M,65-69Y,NUM,115
BEL,TIME06,ADMRASTH,M,70-74Y,NUM,111
BEL,TIME06,ADMRASTH,M,75-79Y,NUM,102
BEL,TIME06,ADMRASTH,M,80-84Y,NUM,112
BEL,TIME06,ADMRASTH,M,85Y_OVER,NUM,36
BEL,TIME06,ADMRASTH,F,15-19Y,NUM,135
BEL,TIME06,ADMRASTH,F,20-24Y,NUM,127
BEL,TIME06,ADMRASTH,F,25-29Y,NUM,133
BEL,TIME06,ADMRASTH,F,30-34Y,NUM,157
BEL,TIME06,ADMRASTH,F,35-39Y,NUM,174
BEL,TIME06,ADMRASTH,F,40-44Y,NUM,223
BEL,TIME06,ADMRASTH,F,45-49Y,NUM,189
BEL,TIME06,ADMRASTH,F,50-54Y,NUM,244
BEL,TIME06,ADMRASTH,F,55-59Y,NUM,210
BEL,TIME06,ADMRASTH,F,60-64Y,NUM,178
BEL,TIME06,ADMRASTH,F,65-69Y,NUM,207
BEL,TIME06,ADMRASTH,F,70-74Y,NUM,291
BEL,TIME06,ADMRASTH,F,75-79Y,NUM,276
BEL,TIME06,ADMRASTH,F,80-84Y,NUM,239
BEL,TIME06,ADMRASTH,F,85Y_OVER,NUM,148
BEL,TIME07,ADMRASTH,M,15-19Y,NUM,128
BEL,TIME07,ADMRASTH,M,20-24Y,NUM,73
BEL,TIME07,ADMRASTH,M,25-29Y,NUM,91
BEL,TIME07,ADMRASTH,M,30-34Y,NUM,84
BEL,TIME07,ADMRASTH,M,35-39Y,NUM,120
BEL,TIME07,ADMRASTH,M,40-44Y,NUM,104
BEL,TIME07,ADMRASTH,M,45-49Y,NUM,127
BEL,TIME07,ADMRASTH,M,50-54Y,NUM,115
BEL,TIME07,ADMRASTH,M,55-59Y,NUM,113
BEL,TIME07,ADMRASTH,M,60-64Y,NUM,102
BEL,TIME07,ADMRASTH,M,65-69Y,NUM,100
BEL,TIME07,ADMRASTH,M,70-74Y,NUM,99
BEL,TIME07,ADMRASTH,M,75-79Y,NUM,108
BEL,TIME07,ADMRASTH,M,80-84Y,NUM,66
BEL,TIME07,ADMRASTH,M,85Y_OVER,NUM,41
BEL,TIME07,ADMRASTH,F,15-19Y,NUM,121
