REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2007,PRABCQDD,F,40-49Y,DEN,4593790.5,Y40T49
AUS,2007,PRABCQDD,F,50-59Y,DEN,5714006.5,Y50T59
AUS,2007,PRABCQDD,F,60-69Y,DEN,9404578,Y60T69
AUS,2007,PRABCQDD,F,70-79Y,DEN,9268564,Y70T79
AUS,2007,PRABCQDD,F,80Y_OVER,DEN,7942974.5,Y_GE80
AUS,2008,PRABCQDD,M,0-9Y,DEN,2457730.3,Y0T9
AUS,2008,PRABCQDD,M,10-19Y,DEN,3176826.3,Y10T19
AUS,2008,PRABCQDD,M,20-29Y,DEN,1616258.1,Y20T29
AUS,2008,PRABCQDD,M,30-39Y,DEN,2032714.8,Y30T39
AUS,2008,PRABCQDD,M,40-49Y,DEN,2767273.3,Y40T49
AUS,2008,PRABCQDD,M,50-59Y,DEN,3823167.5,Y50T59
AUS,2008,PRABCQDD,M,60-69Y,DEN,7499144,Y60T69
AUS,2008,PRABCQDD,M,70-79Y,DEN,8036058.5,Y70T79
AUS,2008,PRABCQDD,M,80Y_OVER,DEN,4966166,Y_GE80
AUS,2008,PRABCQDD,F,0-9Y,DEN,2200520.3,Y0T9
AUS,2008,PRABCQDD,F,10-19Y,DEN,3589744,Y10T19
AUS,2008,PRABCQDD,F,20-29Y,DEN,3627140.5,Y20T29
AUS,2008,PRABCQDD,F,30-39Y,DEN,4405887.5,Y30T39
AUS,2008,PRABCQDD,F,40-49Y,DEN,4622850.5,Y40T49
AUS,2008,PRABCQDD,F,50-59Y,DEN,5824312.5,Y50T59
AUS,2008,PRABCQDD,F,60-69Y,DEN,10267648,Y60T69
AUS,2008,PRABCQDD,F,70-79Y,DEN,9890822,Y70T79
AUS,2008,PRABCQDD,F,80Y_OVER,DEN,8598027,Y_GE80
AUS,2009,PRABCQDD,M,0-9Y,DEN,2446682,Y0T9
AUS,2009,PRABCQDD,M,10-19Y,DEN,3278816.8,Y10T19
AUS,2009,PRABCQDD,M,20-29Y,DEN,1771783.4,Y20T29
AUS,2009,PRABCQDD,M,30-39Y,DEN,2087918.8,Y30T39
AUS,2009,PRABCQDD,M,40-49Y,DEN,2790203.8,Y40T49
AUS,2009,PRABCQDD,M,50-59Y,DEN,3754392.8,Y50T59
AUS,2009,PRABCQDD,M,60-69Y,DEN,7473116,Y60T69
AUS,2009,PRABCQDD,M,70-79Y,DEN,7931603,Y70T79
AUS,2009,PRABCQDD,M,80Y_OVER,DEN,5063544.5,Y_GE80
AUS,2009,PRABCQDD,F,0-9Y,DEN,2186442.8,Y0T9
AUS,2009,PRABCQDD,F,10-19Y,DEN,3632708.5,Y10T19
AUS,2009,PRABCQDD,F,20-29Y,DEN,3759251,Y20T29
AUS,2009,PRABCQDD,F,30-39Y,DEN,4398944,Y30T39
AUS,2009,PRABCQDD,F,40-49Y,DEN,4664469.5,Y40T49
AUS,2009,PRABCQDD,F,50-59Y,DEN,5660948,Y50T59
AUS,2009,PRABCQDD,F,60-69Y,DEN,10338199,Y60T69
AUS,2009,PRABCQDD,F,70-79Y,DEN,9907869,Y70T79
AUS,2009,PRABCQDD,F,80Y_OVER,DEN,8723082,Y_GE80
AUS,2010,PRABCQDD,M,0-9Y,DEN,2559286.8,Y0T9
AUS,2010,PRABCQDD,M,10-19Y,DEN,3243221.5,Y10T19
AUS,2010,PRABCQDD,M,20-29Y,DEN,1873501.9,Y20T29
AUS,2010,PRABCQDD,M,30-39Y,DEN,2186136,Y30T39
AUS,2010,PRABCQDD,M,40-49Y,DEN,2891111.8,Y40T49
AUS,2010,PRABCQDD,M,50-59Y,DEN,3854911.8,Y50T59
AUS,2010,PRABCQDD,M,60-69Y,DEN,7897160,Y60T69
AUS,2010,PRABCQDD,M,70-79Y,DEN,8464575,Y70T79
AUS,2010,PRABCQDD,M,80Y_OVER,DEN,5542527.5,Y_GE80
AUS,2010,PRABCQDD,F,0-9Y,DEN,2292630.5,Y0T9
AUS,2010,PRABCQDD,F,10-19Y,DEN,3711652.5,Y10T19
AUS,2010,PRABCQDD,F,20-29Y,DEN,4021916.5,Y20T29
AUS,2010,PRABCQDD,F,30-39Y,DEN,4557681,Y30T39
AUS,2010,PRABCQDD,F,40-49Y,DEN,4800036.5,Y40T49
AUS,2010,PRABCQDD,F,50-59Y,DEN,5858705,Y50T59
AUS,2010,PRABCQDD,F,60-69Y,DEN,10968952,Y60T69
AUS,2010,PRABCQDD,F,70-79Y,DEN,10532581,Y70T79
AUS,2010,PRABCQDD,F,80Y_OVER,DEN,9454376,Y_GE80
AUS,2011,PRABCQDD,M,0-9Y,DEN,2660466.5,Y0T9
AUS,2011,PRABCQDD,M,10-19Y,DEN,3314113,Y10T19
AUS,2011,PRABCQDD,M,20-29Y,DEN,1951093.3,Y20T29
AUS,2011,PRABCQDD,M,30-39Y,DEN,2202584.8,Y30T39
AUS,2011,PRABCQDD,M,40-49Y,DEN,2950060.5,Y40T49
AUS,2011,PRABCQDD,M,50-59Y,DEN,3973122,Y50T59
AUS,2011,PRABCQDD,M,60-69Y,DEN,8265393.5,Y60T69
AUS,2011,PRABCQDD,M,70-79Y,DEN,8874860,Y70T79
AUS,2011,PRABCQDD,M,80Y_OVER,DEN,5950686,Y_GE80
AUS,2011,PRABCQDD,F,0-9Y,DEN,2393296,Y0T9
AUS,2011,PRABCQDD,F,10-19Y,DEN,3821247.3,Y10T19
AUS,2011,PRABCQDD,F,20-29Y,DEN,4236248,Y20T29
AUS,2011,PRABCQDD,F,30-39Y,DEN,4651183.5,Y30T39
AUS,2011,PRABCQDD,F,40-49Y,DEN,4964933,Y40T49
AUS,2011,PRABCQDD,F,50-59Y,DEN,5996832.5,Y50T59
AUS,2011,PRABCQDD,F,60-69Y,DEN,11537625,Y60T69
AUS,2011,PRABCQDD,F,70-79Y,DEN,11128305,Y70T79
AUS,2011,PRABCQDD,F,80Y_OVER,DEN,10074490,Y_GE80
AUS,2012,PRABCQDD,M,0-9Y,DEN,5689725.5,Y0T9
AUS,2012,PRABCQDD,M,10-19Y,DEN,8032944.5,Y10T19
AUS,2012,PRABCQDD,M,20-29Y,DEN,6763545.5,Y20T29
AUS,2012,PRABCQDD,M,30-39Y,DEN,7337962,Y30T39
AUS,2012,PRABCQDD,M,40-49Y,DEN,8216038,Y40T49
AUS,2012,PRABCQDD,M,50-59Y,DEN,9275946,Y50T59
AUS,2012,PRABCQDD,M,60-69Y,DEN,11403751,Y60T69
AUS,2012,PRABCQDD,M,70-79Y,DEN,9549535,Y70T79
AUS,2012,PRABCQDD,M,80Y_OVER,DEN,6429624.5,Y_GE80
AUS,2012,PRABCQDD,F,0-9Y,DEN,5198836,Y0T9
AUS,2012,PRABCQDD,F,10-19Y,DEN,8756506,Y10T19
AUS,2012,PRABCQDD,F,20-29Y,DEN,10878236,Y20T29
AUS,2012,PRABCQDD,F,30-39Y,DEN,11474467,Y30T39
AUS,2012,PRABCQDD,F,40-49Y,DEN,11864798,Y40T49
AUS,2012,PRABCQDD,F,50-59Y,DEN,12813618,Y50T59
AUS,2012,PRABCQDD,F,60-69Y,DEN,14613867,Y60T69
AUS,2012,PRABCQDD,F,70-79Y,DEN,11928120,Y70T79
AUS,2012,PRABCQDD,F,80Y_OVER,DEN,10841179,Y_GE80
AUS,2013,PRABCQDD,M,0-9Y,DEN,6408065.5,Y0T9
AUS,2013,PRABCQDD,M,10-19Y,DEN,9265652,Y10T19
AUS,2013,PRABCQDD,M,20-29Y,DEN,8158932.5,Y20T29
AUS,2013,PRABCQDD,M,30-39Y,DEN,8766917,Y30T39
AUS,2013,PRABCQDD,M,40-49Y,DEN,9713470,Y40T49
AUS,2013,PRABCQDD,M,50-59Y,DEN,10908247,Y50T59
AUS,2013,PRABCQDD,M,60-69Y,DEN,12528194,Y60T69
AUS,2013,PRABCQDD,M,70-79Y,DEN,9709957,Y70T79
AUS,2013,PRABCQDD,M,80Y_OVER,DEN,6567936,Y_GE80
AUS,2013,PRABCQDD,F,0-9Y,DEN,5853579.5,Y0T9
AUS,2013,PRABCQDD,F,10-19Y,DEN,10149034,Y10T19
AUS,2013,PRABCQDD,F,20-29Y,DEN,13092627,Y20T29
AUS,2013,PRABCQDD,F,30-39Y,DEN,13388816,Y30T39
AUS,2013,PRABCQDD,F,40-49Y,DEN,13849517,Y40T49
AUS,2013,PRABCQDD,F,50-59Y,DEN,14918515,Y50T59
AUS,2013,PRABCQDD,F,60-69Y,DEN,15736078,Y60T69
AUS,2013,PRABCQDD,F,70-79Y,DEN,12213182,Y70T79
AUS,2013,PRABCQDD,F,80Y_OVER,DEN,11142521,Y_GE80
AUS,2014,PRABCQDD,M,0-9Y,DEN,6584164,Y0T9
AUS,2014,PRABCQDD,M,10-19Y,DEN,9304706,Y10T19
AUS,2014,PRABCQDD,M,20-29Y,DEN,8453970,Y20T29
AUS,2014,PRABCQDD,M,30-39Y,DEN,9178848,Y30T39
AUS,2014,PRABCQDD,M,40-49Y,DEN,9984251,Y40T49
AUS,2014,PRABCQDD,M,50-59Y,DEN,11345678,Y50T59
AUS,2014,PRABCQDD,M,60-69Y,DEN,13089461,Y60T69
AUS,2014,PRABCQDD,M,70-79Y,DEN,10357700,Y70T79
AUS,2014,PRABCQDD,M,80Y_OVER,DEN,6909989,Y_GE80
AUS,2014,PRABCQDD,F,0-9Y,DEN,6032920,Y0T9
AUS,2014,PRABCQDD,F,10-19Y,DEN,10444136,Y10T19
AUS,2014,PRABCQDD,F,20-29Y,DEN,13743925,Y20T29
AUS,2014,PRABCQDD,F,30-39Y,DEN,14096739,Y30T39
AUS,2014,PRABCQDD,F,40-49Y,DEN,14359856,Y40T49
AUS,2014,PRABCQDD,F,50-59Y,DEN,15586124,Y50T59
AUS,2014,PRABCQDD,F,60-69Y,DEN,16659947,Y60T69
AUS,2014,PRABCQDD,F,70-79Y,DEN,13136769,Y70T79
AUS,2014,PRABCQDD,F,80Y_OVER,DEN,11753521,Y_GE80
AUS,2015,PRABCQDD,M,0-9Y,DEN,6641057.5,Y0T9
AUS,2015,PRABCQDD,M,10-19Y,DEN,9446428,Y10T19
AUS,2015,PRABCQDD,M,20-29Y,DEN,8393356,Y20T29
AUS,2015,PRABCQDD,M,30-39Y,DEN,9203258,Y30T39
AUS,2015,PRABCQDD,M,40-49Y,DEN,9991757,Y40T49
AUS,2015,PRABCQDD,M,50-59Y,DEN,11464332,Y50T59
AUS,2015,PRABCQDD,M,60-69Y,DEN,13302844,Y60T69
AUS,2015,PRABCQDD,M,70-79Y,DEN,10817723,Y70T79
AUS,2015,PRABCQDD,M,80Y_OVER,DEN,7194598,Y_GE80
AUS,2015,PRABCQDD,F,0-9Y,DEN,6130145,Y0T9
AUS,2015,PRABCQDD,F,10-19Y,DEN,10599409,Y10T19
AUS,2015,PRABCQDD,F,20-29Y,DEN,13802283,Y20T29
AUS,2015,PRABCQDD,F,30-39Y,DEN,14225531,Y30T39
AUS,2015,PRABCQDD,F,40-49Y,DEN,14545787,Y40T49
AUS,2015,PRABCQDD,F,50-59Y,DEN,15818437,Y50T59
AUS,2015,PRABCQDD,F,60-69Y,DEN,17197570,Y60T69
AUS,2015,PRABCQDD,F,70-79Y,DEN,13966572,Y70T79
AUS,2015,PRABCQDD,F,80Y_OVER,DEN,12253913,Y_GE80
AUS,2016,PRABCQDD,M,0-9Y,DEN,6046771.5,Y0T9
AUS,2016,PRABCQDD,M,10-19Y,DEN,8904206,Y10T19
AUS,2016,PRABCQDD,M,20-29Y,DEN,8186269.5,Y20T29
AUS,2016,PRABCQDD,M,30-39Y,DEN,9127680,Y30T39
AUS,2016,PRABCQDD,M,40-49Y,DEN,9799177,Y40T49
AUS,2016,PRABCQDD,M,50-59Y,DEN,11337768,Y50T59
AUS,2016,PRABCQDD,M,60-69Y,DEN,13293937,Y60T69
AUS,2016,PRABCQDD,M,70-79Y,DEN,11095689,Y70T79
AUS,2016,PRABCQDD,M,80Y_OVER,DEN,7390146.5,Y_GE80
AUS,2016,PRABCQDD,F,0-9Y,DEN,5560641,Y0T9
AUS,2016,PRABCQDD,F,10-19Y,DEN,10167637,Y10T19
AUS,2016,PRABCQDD,F,20-29Y,DEN,13539585,Y20T29
AUS,2016,PRABCQDD,F,30-39Y,DEN,14094200,Y30T39
AUS,2016,PRABCQDD,F,40-49Y,DEN,14242351,Y40T49
AUS,2016,PRABCQDD,F,50-59Y,DEN,15683131,Y50T59
AUS,2016,PRABCQDD,F,60-69Y,DEN,17368506,Y60T69
AUS,2016,PRABCQDD,F,70-79Y,DEN,14540579,Y70T79
AUS,2016,PRABCQDD,F,80Y_OVER,DEN,12672028,Y_GE80
AUS,2017,PRABCQDD,M,0-9Y,DEN,5636707.5,Y0T9
AUS,2017,PRABCQDD,M,10-19Y,DEN,8482867,Y10T19
AUS,2017,PRABCQDD,M,20-29Y,DEN,7754448,Y20T29
AUS,2017,PRABCQDD,M,30-39Y,DEN,8803492,Y30T39
AUS,2017,PRABCQDD,M,40-49Y,DEN,9506950,Y40T49
AUS,2017,PRABCQDD,M,50-59Y,DEN,11064797,Y50T59
AUS,2017,PRABCQDD,M,60-69Y,DEN,13085182,Y60T69
AUS,2017,PRABCQDD,M,70-79Y,DEN,11509048,Y70T79
AUS,2017,PRABCQDD,M,80Y_OVER,DEN,7606677.5,Y_GE80
AUS,2017,PRABCQDD,F,0-9Y,DEN,5200278.5,Y0T9
AUS,2017,PRABCQDD,F,10-19Y,DEN,9746819,Y10T19
AUS,2017,PRABCQDD,F,20-29Y,DEN,12922590,Y20T29
AUS,2017,PRABCQDD,F,30-39Y,DEN,13621312,Y30T39
AUS,2017,PRABCQDD,F,40-49Y,DEN,13795407,Y40T49
AUS,2017,PRABCQDD,F,50-59Y,DEN,15358584,Y50T59
AUS,2017,PRABCQDD,F,60-69Y,DEN,17327828,Y60T69
AUS,2017,PRABCQDD,F,70-79Y,DEN,15337333,Y70T79
AUS,2017,PRABCQDD,F,80Y_OVER,DEN,13232520,Y_GE80
AUS,2018,PRABCQDD,M,0-9Y,DEN,5111824,Y0T9
AUS,2018,PRABCQDD,M,10-19Y,DEN,7862326.5,Y10T19
AUS,2018,PRABCQDD,M,20-29Y,DEN,7490172.5,Y20T29
AUS,2018,PRABCQDD,M,30-39Y,DEN,8649637,Y30T39
AUS,2018,PRABCQDD,M,40-49Y,DEN,9159423,Y40T49
AUS,2018,PRABCQDD,M,50-59Y,DEN,10714845,Y50T59
AUS,2018,PRABCQDD,M,60-69Y,DEN,12778139,Y60T69
AUS,2018,PRABCQDD,M,70-79Y,DEN,11869288,Y70T79
AUS,2018,PRABCQDD,M,80Y_OVER,DEN,7725316.5,Y_GE80
AUS,2018,PRABCQDD,F,0-9Y,DEN,4715071,Y0T9
AUS,2018,PRABCQDD,F,10-19Y,DEN,9232614,Y10T19
AUS,2018,PRABCQDD,F,20-29Y,DEN,12594346,Y20T29
AUS,2018,PRABCQDD,F,30-39Y,DEN,13371916,Y30T39
AUS,2018,PRABCQDD,F,40-49Y,DEN,13255086,Y40T49
AUS,2018,PRABCQDD,F,50-59Y,DEN,14881672,Y50T59
AUS,2018,PRABCQDD,F,60-69Y,DEN,16979168,Y60T69
AUS,2018,PRABCQDD,F,70-79Y,DEN,15997029,Y70T79
AUS,2018,PRABCQDD,F,80Y_OVER,DEN,13699206,Y_GE80
AUS,2019,PRABCQDD,M,0-9Y,DEN,5347397,Y0T9
AUS,2019,PRABCQDD,M,10-19Y,DEN,8251554.5,Y10T19
AUS,2019,PRABCQDD,M,20-29Y,DEN,7637096,Y20T29
AUS,2019,PRABCQDD,M,30-39Y,DEN,8945795,Y30T39
AUS,2019,PRABCQDD,M,40-49Y,DEN,9349325,Y40T49
AUS,2019,PRABCQDD,M,50-59Y,DEN,10930194,Y50T59
AUS,2019,PRABCQDD,M,60-69Y,DEN,13021272,Y60T69
AUS,2019,PRABCQDD,M,70-79Y,DEN,12510157,Y70T79
AUS,2019,PRABCQDD,M,80Y_OVER,DEN,8114713,Y_GE80
AUS,2019,PRABCQDD,F,0-9Y,DEN,4955654.5,Y0T9
AUS,2019,PRABCQDD,F,10-19Y,DEN,9422065,Y10T19
AUS,2019,PRABCQDD,F,20-29Y,DEN,12713845,Y20T29
AUS,2019,PRABCQDD,F,30-39Y,DEN,13823686,Y30T39
AUS,2019,PRABCQDD,F,40-49Y,DEN,13526156,Y40T49
AUS,2019,PRABCQDD,F,50-59Y,DEN,15186834,Y50T59
AUS,2019,PRABCQDD,F,60-69Y,DEN,17541768,Y60T69
AUS,2019,PRABCQDD,F,70-79Y,DEN,17074586,Y70T79
AUS,2019,PRABCQDD,F,80Y_OVER,DEN,14466896,Y_GE80
AUS,2020,PRABCQDD,M,0-9Y,DEN,2957116.542,Y0T9
AUS,2020,PRABCQDD,M,10-19Y,DEN,6333318.558,Y10T19
AUS,2020,PRABCQDD,M,20-29Y,DEN,5638613.803,Y20T29
AUS,2020,PRABCQDD,M,30-39Y,DEN,6511020.643,Y30T39
AUS,2020,PRABCQDD,M,40-49Y,DEN,6926313.513,Y40T49
AUS,2020,PRABCQDD,M,50-59Y,DEN,8283812.267,Y50T59
AUS,2020,PRABCQDD,M,60-69Y,DEN,10025261.59,Y60T69
AUS,2020,PRABCQDD,M,70-79Y,DEN,10411197.55,Y70T79
AUS,2020,PRABCQDD,M,80Y_OVER,DEN,7046220.034,Y_GE80
AUS,2020,PRABCQDD,F,0-9Y,DEN,2768185.492,Y0T9
AUS,2020,PRABCQDD,F,10-19Y,DEN,7386683.133,Y10T19
AUS,2020,PRABCQDD,F,20-29Y,DEN,10077471.86,Y20T29
AUS,2020,PRABCQDD,F,30-39Y,DEN,10717145.02,Y30T39
AUS,2020,PRABCQDD,F,40-49Y,DEN,10443541.55,Y40T49
AUS,2020,PRABCQDD,F,50-59Y,DEN,11750028.33,Y50T59
AUS,2020,PRABCQDD,F,60-69Y,DEN,13782458.87,Y60T69
AUS,2020,PRABCQDD,F,70-79Y,DEN,14955784.22,Y70T79
AUS,2020,PRABCQDD,F,80Y_OVER,DEN,13313402.33,Y_GE80
AUS,2021,PRABCQDD,M,0-9Y,DEN,3787867.335,Y0T9
AUS,2021,PRABCQDD,M,10-19Y,DEN,6414246.644,Y10T19
AUS,2021,PRABCQDD,M,20-29Y,DEN,5410099.129,Y20T29
AUS,2021,PRABCQDD,M,30-39Y,DEN,6546784.603,Y30T39
AUS,2021,PRABCQDD,M,40-49Y,DEN,6695577.005,Y40T49
AUS,2021,PRABCQDD,M,50-59Y,DEN,7892631.613,Y50T59
AUS,2021,PRABCQDD,M,60-69Y,DEN,9663646.09,Y60T69
AUS,2021,PRABCQDD,M,70-79Y,DEN,10126009.19,Y70T79
AUS,2021,PRABCQDD,M,80Y_OVER,DEN,7027952.071,Y_GE80
AUS,2021,PRABCQDD,F,0-9Y,DEN,3496010.93,Y0T9
AUS,2021,PRABCQDD,F,10-19Y,DEN,7424542.76,Y10T19
AUS,2021,PRABCQDD,F,20-29Y,DEN,9916254.952,Y20T29
AUS,2021,PRABCQDD,F,30-39Y,DEN,10990514.19,Y30T39
AUS,2021,PRABCQDD,F,40-49Y,DEN,10056136.97,Y40T49
AUS,2021,PRABCQDD,F,50-59Y,DEN,11254983.32,Y50T59
AUS,2021,PRABCQDD,F,60-69Y,DEN,13371970.81,Y60T69
AUS,2021,PRABCQDD,F,70-79Y,DEN,14813213.1,Y70T79
AUS,2021,PRABCQDD,F,80Y_OVER,DEN,13319720.46,Y_GE80
AUS,2022,PRABCQDD,M,0-9Y,DEN,4536573.353,Y0T9
AUS,2022,PRABCQDD,M,10-19Y,DEN,7504170.317,Y10T19
AUS,2022,PRABCQDD,M,20-29Y,DEN,6125929.143,Y20T29
AUS,2022,PRABCQDD,M,30-39Y,DEN,7370897.543,Y30T39
AUS,2022,PRABCQDD,M,40-49Y,DEN,7551721.29,Y40T49
AUS,2022,PRABCQDD,M,50-59Y,DEN,8848291.423,Y50T59
AUS,2022,PRABCQDD,M,60-69Y,DEN,10701536.02,Y60T69
AUS,2022,PRABCQDD,M,70-79Y,DEN,11072923.86,Y70T79
AUS,2022,PRABCQDD,M,80Y_OVER,DEN,7421119.434,Y_GE80
AUS,2022,PRABCQDD,F,0-9Y,DEN,4174764.067,Y0T9
AUS,2022,PRABCQDD,F,10-19Y,DEN,8415182.592,Y10T19
AUS,2022,PRABCQDD,F,20-29Y,DEN,10909775.82,Y20T29
AUS,2022,PRABCQDD,F,30-39Y,DEN,12472959.63,Y30T39
AUS,2022,PRABCQDD,F,40-49Y,DEN,11490505.29,Y40T49
AUS,2022,PRABCQDD,F,50-59Y,DEN,12784860.85,Y50T59
AUS,2022,PRABCQDD,F,60-69Y,DEN,14917520.83,Y60T69
AUS,2022,PRABCQDD,F,70-79Y,DEN,16204132.57,Y70T79
AUS,2022,PRABCQDD,F,80Y_OVER,DEN,13950395.95,Y_GE80
AUS,2005,PRABOUDD,M,0-9Y,NUM,2512168.5,Y0T9
AUS,2005,PRABOUDD,M,10-19Y,NUM,3512696.5,Y10T19
AUS,2005,PRABOUDD,M,20-29Y,NUM,1873127.3,Y20T29
AUS,2005,PRABOUDD,M,30-39Y,NUM,2220786.5,Y30T39
AUS,2005,PRABOUDD,M,40-49Y,NUM,2879533.3,Y40T49
AUS,2005,PRABOUDD,M,50-59Y,NUM,3973474.8,Y50T59
AUS,2005,PRABOUDD,M,60-69Y,NUM,6428148,Y60T69
AUS,2005,PRABOUDD,M,70-79Y,NUM,7140848.5,Y70T79
AUS,2005,PRABOUDD,M,80Y_OVER,NUM,3903941.8,Y_GE80
AUS,2005,PRABOUDD,F,0-9Y,NUM,2267907.8,Y0T9
AUS,2005,PRABOUDD,F,10-19Y,NUM,4004212,Y10T19
AUS,2005,PRABOUDD,F,20-29Y,NUM,3903364,Y20T29
AUS,2005,PRABOUDD,F,30-39Y,NUM,4582653.5,Y30T39
AUS,2005,PRABOUDD,F,40-49Y,NUM,4667486,Y40T49
AUS,2005,PRABOUDD,F,50-59Y,NUM,5776388,Y50T59
AUS,2005,PRABOUDD,F,60-69Y,NUM,8710396,Y60T69
AUS,2005,PRABOUDD,F,70-79Y,NUM,8672437,Y70T79
AUS,2005,PRABOUDD,F,80Y_OVER,NUM,7108954.5,Y_GE80
AUS,2006,PRABOUDD,M,0-9Y,NUM,2361890.3,Y0T9
AUS,2006,PRABOUDD,M,10-19Y,NUM,3364282.8,Y10T19
AUS,2006,PRABOUDD,M,20-29Y,NUM,1762569.3,Y20T29
AUS,2006,PRABOUDD,M,30-39Y,NUM,2106239.3,Y30T39
AUS,2006,PRABOUDD,M,40-49Y,NUM,2766868.8,Y40T49
AUS,2006,PRABOUDD,M,50-59Y,NUM,3811850.3,Y50T59
AUS,2006,PRABOUDD,M,60-69Y,NUM,6504669.5,Y60T69
AUS,2006,PRABOUDD,M,70-79Y,NUM,7156729,Y70T79
AUS,2006,PRABOUDD,M,80Y_OVER,NUM,4172743,Y_GE80
AUS,2006,PRABOUDD,F,0-9Y,NUM,2122210,Y0T9
AUS,2006,PRABOUDD,F,10-19Y,NUM,3822534.8,Y10T19
AUS,2006,PRABOUDD,F,20-29Y,NUM,3721940.8,Y20T29
AUS,2006,PRABOUDD,F,30-39Y,NUM,4388927,Y30T39
AUS,2006,PRABOUDD,F,40-49Y,NUM,4570937.5,Y40T49
AUS,2006,PRABOUDD,F,50-59Y,NUM,5616004.5,Y50T59
AUS,2006,PRABOUDD,F,60-69Y,NUM,8790849,Y60T69
AUS,2006,PRABOUDD,F,70-79Y,NUM,8746600,Y70T79
AUS,2006,PRABOUDD,F,80Y_OVER,NUM,7390086.5,Y_GE80
AUS,2007,PRABOUDD,M,0-9Y,NUM,2425722,Y0T9
AUS,2007,PRABOUDD,M,10-19Y,NUM,3211883,Y10T19
AUS,2007,PRABOUDD,M,20-29Y,NUM,1705924.3,Y20T29
AUS,2007,PRABOUDD,M,30-39Y,NUM,2069746.1,Y30T39
AUS,2007,PRABOUDD,M,40-49Y,NUM,2756522,Y40T49
AUS,2007,PRABOUDD,M,50-59Y,NUM,3839142.5,Y50T59
AUS,2007,PRABOUDD,M,60-69Y,NUM,6938469.5,Y60T69
AUS,2007,PRABOUDD,M,70-79Y,NUM,7530942,Y70T79
AUS,2007,PRABOUDD,M,80Y_OVER,NUM,4553367.5,Y_GE80
AUS,2007,PRABOUDD,F,0-9Y,NUM,2169561,Y0T9
AUS,2007,PRABOUDD,F,10-19Y,NUM,3644463,Y10T19
AUS,2007,PRABOUDD,F,20-29Y,NUM,3676375.5,Y20T29
AUS,2007,PRABOUDD,F,30-39Y,NUM,4416856,Y30T39
AUS,2007,PRABOUDD,F,40-49Y,NUM,4593790.5,Y40T49
AUS,2007,PRABOUDD,F,50-59Y,NUM,5714006.5,Y50T59
AUS,2007,PRABOUDD,F,60-69Y,NUM,9404578,Y60T69
AUS,2007,PRABOUDD,F,70-79Y,NUM,9268564,Y70T79
AUS,2007,PRABOUDD,F,80Y_OVER,NUM,7942974.5,Y_GE80
AUS,2008,PRABOUDD,M,0-9Y,NUM,2457730.3,Y0T9
AUS,2008,PRABOUDD,M,10-19Y,NUM,3176826.3,Y10T19
AUS,2008,PRABOUDD,M,20-29Y,NUM,1616258.1,Y20T29
AUS,2008,PRABOUDD,M,30-39Y,NUM,2032714.8,Y30T39
AUS,2008,PRABOUDD,M,40-49Y,NUM,2767273.3,Y40T49
AUS,2008,PRABOUDD,M,50-59Y,NUM,3823167.5,Y50T59
AUS,2008,PRABOUDD,M,60-69Y,NUM,7499144,Y60T69
AUS,2008,PRABOUDD,M,70-79Y,NUM,8036058.5,Y70T79
AUS,2008,PRABOUDD,M,80Y_OVER,NUM,4966166,Y_GE80
AUS,2008,PRABOUDD,F,0-9Y,NUM,2200520.3,Y0T9
AUS,2008,PRABOUDD,F,10-19Y,NUM,3589744,Y10T19
AUS,2008,PRABOUDD,F,20-29Y,NUM,3627140.5,Y20T29
AUS,2008,PRABOUDD,F,30-39Y,NUM,4405887.5,Y30T39
AUS,2008,PRABOUDD,F,40-49Y,NUM,4622850.5,Y40T49
AUS,2008,PRABOUDD,F,50-59Y,NUM,5824312.5,Y50T59
AUS,2008,PRABOUDD,F,60-69Y,NUM,10267648,Y60T69
AUS,2008,PRABOUDD,F,70-79Y,NUM,9890822,Y70T79
AUS,2008,PRABOUDD,F,80Y_OVER,NUM,8598027,Y_GE80
AUS,2009,PRABOUDD,M,0-9Y,NUM,2446682,Y0T9
AUS,2009,PRABOUDD,M,10-19Y,NUM,3278816.8,Y10T19
AUS,2009,PRABOUDD,M,20-29Y,NUM,1771783.4,Y20T29
AUS,2009,PRABOUDD,M,30-39Y,NUM,2087918.8,Y30T39
AUS,2009,PRABOUDD,M,40-49Y,NUM,2790203.8,Y40T49
AUS,2009,PRABOUDD,M,50-59Y,NUM,3754392.8,Y50T59
AUS,2009,PRABOUDD,M,60-69Y,NUM,7473116,Y60T69
AUS,2009,PRABOUDD,M,70-79Y,NUM,7931603,Y70T79
AUS,2009,PRABOUDD,M,80Y_OVER,NUM,5063544.5,Y_GE80
AUS,2009,PRABOUDD,F,0-9Y,NUM,2186442.8,Y0T9
AUS,2009,PRABOUDD,F,10-19Y,NUM,3632708.5,Y10T19
AUS,2009,PRABOUDD,F,20-29Y,NUM,3759251,Y20T29
AUS,2009,PRABOUDD,F,30-39Y,NUM,4398944,Y30T39
AUS,2009,PRABOUDD,F,40-49Y,NUM,4664469.5,Y40T49
AUS,2009,PRABOUDD,F,50-59Y,NUM,5660948,Y50T59
AUS,2009,PRABOUDD,F,60-69Y,NUM,10338199,Y60T69
AUS,2009,PRABOUDD,F,70-79Y,NUM,9907869,Y70T79
