REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2009,PRDMPCDD,F,40-49Y,NUM,4839,Y40T49
AUS,2009,PRDMPCDD,F,50-59Y,NUM,16513,Y50T59
AUS,2009,PRDMPCDD,F,60-69Y,NUM,35306,Y60T69
AUS,2009,PRDMPCDD,F,70-79Y,NUM,34728,Y70T79
AUS,2009,PRDMPCDD,F,80Y_OVER,NUM,16489,Y_GE80
AUS,2010,PRDMPCDD,M,0-9Y,NUM,13,Y0T9
AUS,2010,PRDMPCDD,M,10-19Y,NUM,31,Y10T19
AUS,2010,PRDMPCDD,M,20-29Y,NUM,172,Y20T29
AUS,2010,PRDMPCDD,M,30-39Y,NUM,1278,Y30T39
AUS,2010,PRDMPCDD,M,40-49Y,NUM,6550,Y40T49
AUS,2010,PRDMPCDD,M,50-59Y,NUM,20797,Y50T59
AUS,2010,PRDMPCDD,M,60-69Y,NUM,49495,Y60T69
AUS,2010,PRDMPCDD,M,70-79Y,NUM,44416,Y70T79
AUS,2010,PRDMPCDD,M,80Y_OVER,NUM,15451,Y_GE80
AUS,2010,PRDMPCDD,F,0-9Y,NUM,5,Y0T9
AUS,2010,PRDMPCDD,F,10-19Y,NUM,15,Y10T19
AUS,2010,PRDMPCDD,F,20-29Y,NUM,122,Y20T29
AUS,2010,PRDMPCDD,F,30-39Y,NUM,1022,Y30T39
AUS,2010,PRDMPCDD,F,40-49Y,NUM,5095,Y40T49
AUS,2010,PRDMPCDD,F,50-59Y,NUM,17082,Y50T59
AUS,2010,PRDMPCDD,F,60-69Y,NUM,37171,Y60T69
AUS,2010,PRDMPCDD,F,70-79Y,NUM,36318,Y70T79
AUS,2010,PRDMPCDD,F,80Y_OVER,NUM,17792,Y_GE80
AUS,2011,PRDMPCDD,M,0-9Y,NUM,11,Y0T9
AUS,2011,PRDMPCDD,M,10-19Y,NUM,45,Y10T19
AUS,2011,PRDMPCDD,M,20-29Y,NUM,194,Y20T29
AUS,2011,PRDMPCDD,M,30-39Y,NUM,1387,Y30T39
AUS,2011,PRDMPCDD,M,40-49Y,NUM,7175,Y40T49
AUS,2011,PRDMPCDD,M,50-59Y,NUM,21845,Y50T59
AUS,2011,PRDMPCDD,M,60-69Y,NUM,52663,Y60T69
AUS,2011,PRDMPCDD,M,70-79Y,NUM,47779,Y70T79
AUS,2011,PRDMPCDD,M,80Y_OVER,NUM,17489,Y_GE80
