REF-AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE,AGE
AUS,2021,MPIPRESP,M,Total_16,CRUDE_RATE_CPAT,83.1,YToTal
AUS,2021,MPIPRESP,F,Y16T24,CRUDE_RATE_CPAT,80.6,YY1TT2
AUS,2021,MPIPRESP,F,Y25T44,CRUDE_RATE_CPAT,80.1,YY2TT4
AUS,2021,MPIPRESP,F,Y45T64,CRUDE_RATE_CPAT,81.7,YY4TT6
AUS,2021,MPIPRESP,F,Y_GE65,CRUDE_RATE_CPAT,87.5,YY_TE6
AUS,2021,MPIPRESP,F,Total_16,CRUDE_RATE_CPAT,81.2,YToTal
AUS,2021,MPIPRESP,T,Y16T24,CRUDE_RATE_CPAT,81.5,YY1TT2
AUS,2021,MPIPRESP,T,Y25T44,CRUDE_RATE_CPAT,81,YY2TT4
AUS,2021,MPIPRESP,T,Y45T64,CRUDE_RATE_CPAT,82.2,YY4TT6
AUS,2021,MPIPRESP,T,Y_GE65,CRUDE_RATE_CPAT,87.3,YY_TE6
AUS,2021,MPIPRESP,T,Total_16,CRUDE_RATE_CPAT,80.1,YToTal
AUS,2017,MPCBRESP,M,Y16T24,CRUDE_RATE_CPAT,91.5,YY1TT2
AUS,2017,MPCBRESP,M,Y25T44,CRUDE_RATE_CPAT,84.3,YY2TT4
AUS,2017,MPCBRESP,M,Y45T64,CRUDE_RATE_CPAT,85.8,YY4TT6
AUS,2017,MPCBRESP,M,Y_GE65,CRUDE_RATE_CPAT,87.8,YY_TE6
AUS,2017,MPCBRESP,M,Total_16,CRUDE_RATE_CPAT,86.2,YToTal
AUS,2017,MPCBRESP,F,Y16T24,CRUDE_RATE_CPAT,92.7,YY1TT2
AUS,2017,MPCBRESP,F,Y25T44,CRUDE_RATE_CPAT,87.3,YY2TT4
AUS,2017,MPCBRESP,F,Y45T64,CRUDE_RATE_CPAT,88,YY4TT6
AUS,2017,MPCBRESP,F,Y_GE65,CRUDE_RATE_CPAT,92.8,YY_TE6
AUS,2017,MPCBRESP,F,Total_16,CRUDE_RATE_CPAT,89.2,YToTal
AUS,2017,MPCBRESP,T,Y16T24,CRUDE_RATE_CPAT,92,YY1TT2
AUS,2017,MPCBRESP,T,Y25T44,CRUDE_RATE_CPAT,85.8,YY2TT4
AUS,2017,MPCBRESP,T,Y45T64,CRUDE_RATE_CPAT,86.8,YY4TT6
