REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
CAN,2018,ICISCACR,F,Y_GE85,CRUDE_RATE_MPOP,34.89208633
CAN,2018,ICISCACR,T,Y45T54,CRUDE_RATE_MPOP,20.14134276
CAN,2018,ICISCACR,T,Y55T64,CRUDE_RATE_MPOP,22.91066282
CAN,2018,ICISCACR,T,Y65T74,CRUDE_RATE_MPOP,27.54901961
CAN,2018,ICISCACR,T,Y75T84,CRUDE_RATE_MPOP,33.4767642
CAN,2018,ICISCACR,T,Y_GE85,CRUDE_RATE_MPOP,37.20670391
CAN,2019,ICISCACR,M,Y45T54,CRUDE_RATE_MPOP,19.56521739
CAN,2019,ICISCACR,M,Y55T64,CRUDE_RATE_MPOP,22.19730942
CAN,2019,ICISCACR,M,Y65T74,CRUDE_RATE_MPOP,25.87301587
CAN,2019,ICISCACR,M,Y75T84,CRUDE_RATE_MPOP,33.17073171
CAN,2019,ICISCACR,M,Y_GE85,CRUDE_RATE_MPOP,38.48396501
CAN,2019,ICISCACR,F,Y45T54,CRUDE_RATE_MPOP,23.68421053
CAN,2019,ICISCACR,F,Y55T64,CRUDE_RATE_MPOP,24.68619247
CAN,2019,ICISCACR,F,Y65T74,CRUDE_RATE_MPOP,26.88679245
CAN,2019,ICISCACR,F,Y75T84,CRUDE_RATE_MPOP,30.91872792
CAN,2019,ICISCACR,F,Y_GE85,CRUDE_RATE_MPOP,34.19689119
CAN,2019,ICISCACR,T,Y45T54,CRUDE_RATE_MPOP,21.1409396
CAN,2019,ICISCACR,T,Y55T64,CRUDE_RATE_MPOP,23.06569343
CAN,2019,ICISCACR,T,Y65T74,CRUDE_RATE_MPOP,26.28083491
CAN,2019,ICISCACR,T,Y75T84,CRUDE_RATE_MPOP,32.09144793
CAN,2019,ICISCACR,T,Y_GE85,CRUDE_RATE_MPOP,35.79175705
CAN,2017,ICISCACR,M,Y45T54,STAND_SE,1.353569269
CAN,2017,ICISCACR,M,Y55T64,STAND_SE,0.916324258
CAN,2017,ICISCACR,M,Y65T74,STAND_SE,0.812566299
CAN,2017,ICISCACR,M,Y75T84,STAND_SE,0.87899832
CAN,2017,ICISCACR,M,Y_GE85,STAND_SE,1.21038745
CAN,2017,ICISCACR,F,Y45T54,STAND_SE,1.805874552
CAN,2017,ICISCACR,F,Y55T64,STAND_SE,1.295761633
CAN,2017,ICISCACR,F,Y65T74,STAND_SE,1.015724883
CAN,2017,ICISCACR,F,Y75T84,STAND_SE,0.875721063
CAN,2017,ICISCACR,F,Y_GE85,STAND_SE,0.888805345
CAN,2017,ICISCACR,T,Y45T54,STAND_SE,1.083099698
CAN,2017,ICISCACR,T,Y55T64,STAND_SE,0.748585956
CAN,2017,ICISCACR,T,Y65T74,STAND_SE,0.635189203
CAN,2017,ICISCACR,T,Y75T84,STAND_SE,0.620385788
CAN,2017,ICISCACR,T,Y_GE85,STAND_SE,0.717695741
CAN,2018,ICISCACR,M,Y45T54,STAND_SE,1.30167268
CAN,2018,ICISCACR,M,Y55T64,STAND_SE,0.866386299
CAN,2018,ICISCACR,M,Y65T74,STAND_SE,0.802915073
CAN,2018,ICISCACR,M,Y75T84,STAND_SE,0.882957546
CAN,2018,ICISCACR,M,Y_GE85,STAND_SE,1.194642191
CAN,2018,ICISCACR,F,Y45T54,STAND_SE,1.853663482
CAN,2018,ICISCACR,F,Y55T64,STAND_SE,1.253346035
CAN,2018,ICISCACR,F,Y65T74,STAND_SE,0.997959541
CAN,2018,ICISCACR,F,Y75T84,STAND_SE,0.868285582
CAN,2018,ICISCACR,F,Y_GE85,STAND_SE,0.903978207
CAN,2018,ICISCACR,T,Y45T54,STAND_SE,1.06617131
CAN,2018,ICISCACR,T,Y55T64,STAND_SE,0.713429799
CAN,2018,ICISCACR,T,Y65T74,STAND_SE,0.625590463
CAN,2018,ICISCACR,T,Y75T84,STAND_SE,0.619113613
CAN,2018,ICISCACR,T,Y_GE85,STAND_SE,0.722554682
CAN,2019,ICISCACR,M,Y45T54,STAND_SE,1.307887447
CAN,2019,ICISCACR,M,Y55T64,STAND_SE,0.88002507
CAN,2019,ICISCACR,M,Y65T74,STAND_SE,0.780290674
CAN,2019,ICISCACR,M,Y75T84,STAND_SE,0.849059878
CAN,2019,ICISCACR,M,Y_GE85,STAND_SE,1.174902995
CAN,2019,ICISCACR,F,Y45T54,STAND_SE,1.780734731
CAN,2019,ICISCACR,F,Y55T64,STAND_SE,1.247327234
CAN,2019,ICISCACR,F,Y65T74,STAND_SE,0.962940572
CAN,2019,ICISCACR,F,Y75T84,STAND_SE,0.868755874
CAN,2019,ICISCACR,F,Y_GE85,STAND_SE,0.881641927
CAN,2019,ICISCACR,T,Y45T54,STAND_SE,1.057778676
CAN,2019,ICISCACR,T,Y55T64,STAND_SE,0.719801905
CAN,2019,ICISCACR,T,Y65T74,STAND_SE,0.606323604
CAN,2019,ICISCACR,T,Y75T84,STAND_SE,0.607500921
CAN,2019,ICISCACR,T,Y_GE85,STAND_SE,0.706051597
CAN,2017,ICISCDSR,M,Y45T54,NUM,35
CAN,2017,ICISCDSR,M,Y55T64,NUM,115
CAN,2017,ICISCDSR,M,Y65T74,NUM,140
CAN,2017,ICISCDSR,M,Y75T84,NUM,155
CAN,2017,ICISCDSR,M,Y_GE85,NUM,75
CAN,2017,ICISCDSR,F,Y45T54,NUM,25
CAN,2017,ICISCDSR,F,Y55T64,NUM,55
CAN,2017,ICISCDSR,F,Y65T74,NUM,105
CAN,2017,ICISCDSR,F,Y75T84,NUM,125
CAN,2017,ICISCDSR,F,Y_GE85,NUM,120
CAN,2018,ICISCDSR,M,Y45T54,NUM,40
CAN,2018,ICISCDSR,M,Y55T64,NUM,115
CAN,2018,ICISCDSR,M,Y65T74,NUM,155
CAN,2018,ICISCDSR,M,Y75T84,NUM,155
CAN,2018,ICISCDSR,M,Y_GE85,NUM,75
CAN,2018,ICISCDSR,F,Y45T54,NUM,15
CAN,2018,ICISCDSR,F,Y55T64,NUM,45
CAN,2018,ICISCDSR,F,Y65T74,NUM,95
CAN,2018,ICISCDSR,F,Y75T84,NUM,145
CAN,2018,ICISCDSR,F,Y_GE85,NUM,115
CAN,2019,ICISCDSR,M,Y45T54,NUM,35
CAN,2019,ICISCDSR,M,Y55T64,NUM,110
CAN,2019,ICISCDSR,M,Y65T74,NUM,155
CAN,2019,ICISCDSR,M,Y75T84,NUM,170
CAN,2019,ICISCDSR,M,Y_GE85,NUM,70
CAN,2019,ICISCDSR,F,Y45T54,NUM,25
CAN,2019,ICISCDSR,F,Y55T64,NUM,70
CAN,2019,ICISCDSR,F,Y65T74,NUM,110
CAN,2019,ICISCDSR,F,Y75T84,NUM,140
CAN,2019,ICISCDSR,F,Y_GE85,NUM,125
CAN,2017,ICISCDSR,M,Y45T54,DEN,895
CAN,2017,ICISCDSR,M,Y55T64,DEN,2100
CAN,2017,ICISCDSR,M,Y65T74,DEN,2940
CAN,2017,ICISCDSR,M,Y75T84,DEN,2815
CAN,2017,ICISCDSR,M,Y_GE85,DEN,1625
CAN,2017,ICISCDSR,F,Y45T54,DEN,505
CAN,2017,ICISCDSR,F,Y55T64,DEN,1110
CAN,2017,ICISCDSR,F,Y65T74,DEN,2010
CAN,2017,ICISCDSR,F,Y75T84,DEN,2845
CAN,2017,ICISCDSR,F,Y_GE85,DEN,2835
CAN,2018,ICISCDSR,M,Y45T54,DEN,925
CAN,2018,ICISCDSR,M,Y55T64,DEN,2290
CAN,2018,ICISCDSR,M,Y65T74,DEN,3085
CAN,2018,ICISCDSR,M,Y75T84,DEN,2870
CAN,2018,ICISCDSR,M,Y_GE85,DEN,1695
CAN,2018,ICISCDSR,F,Y45T54,DEN,490
CAN,2018,ICISCDSR,F,Y55T64,DEN,1180
CAN,2018,ICISCDSR,F,Y65T74,DEN,2015
CAN,2018,ICISCDSR,F,Y75T84,DEN,2940
CAN,2018,ICISCDSR,F,Y_GE85,DEN,2780
CAN,2019,ICISCDSR,M,Y45T54,DEN,920
CAN,2019,ICISCDSR,M,Y55T64,DEN,2230
CAN,2019,ICISCDSR,M,Y65T74,DEN,3150
CAN,2019,ICISCDSR,M,Y75T84,DEN,3075
CAN,2019,ICISCDSR,M,Y_GE85,DEN,1715
CAN,2019,ICISCDSR,F,Y45T54,DEN,570
CAN,2019,ICISCDSR,F,Y55T64,DEN,1195
CAN,2019,ICISCDSR,F,Y65T74,DEN,2120
CAN,2019,ICISCDSR,F,Y75T84,DEN,2830
CAN,2019,ICISCDSR,F,Y_GE85,DEN,2895
CAN,2017,ICISCDSR,M,Y45T54,CRUDE_RATE_MPOP,3.910614525
CAN,2017,ICISCDSR,M,Y55T64,CRUDE_RATE_MPOP,5.476190476
CAN,2017,ICISCDSR,M,Y65T74,CRUDE_RATE_MPOP,4.761904762
CAN,2017,ICISCDSR,M,Y75T84,CRUDE_RATE_MPOP,5.506216696
CAN,2017,ICISCDSR,M,Y_GE85,CRUDE_RATE_MPOP,4.615384615
CAN,2017,ICISCDSR,F,Y45T54,CRUDE_RATE_MPOP,4.95049505
CAN,2017,ICISCDSR,F,Y55T64,CRUDE_RATE_MPOP,4.954954955
CAN,2017,ICISCDSR,F,Y65T74,CRUDE_RATE_MPOP,5.223880597
CAN,2017,ICISCDSR,F,Y75T84,CRUDE_RATE_MPOP,4.393673111
CAN,2017,ICISCDSR,F,Y_GE85,CRUDE_RATE_MPOP,4.232804233
CAN,2017,ICISCDSR,T,Y45T54,CRUDE_RATE_MPOP,4.285714286
CAN,2017,ICISCDSR,T,Y55T64,CRUDE_RATE_MPOP,5.295950156
CAN,2017,ICISCDSR,T,Y65T74,CRUDE_RATE_MPOP,4.949494949
CAN,2017,ICISCDSR,T,Y75T84,CRUDE_RATE_MPOP,4.946996466
CAN,2017,ICISCDSR,T,Y_GE85,CRUDE_RATE_MPOP,4.372197309
CAN,2018,ICISCDSR,M,Y45T54,CRUDE_RATE_MPOP,4.324324324
CAN,2018,ICISCDSR,M,Y55T64,CRUDE_RATE_MPOP,5.021834061
CAN,2018,ICISCDSR,M,Y65T74,CRUDE_RATE_MPOP,5.024311183
CAN,2018,ICISCDSR,M,Y75T84,CRUDE_RATE_MPOP,5.400696864
CAN,2018,ICISCDSR,M,Y_GE85,CRUDE_RATE_MPOP,4.424778761
CAN,2018,ICISCDSR,F,Y45T54,CRUDE_RATE_MPOP,3.06122449
CAN,2018,ICISCDSR,F,Y55T64,CRUDE_RATE_MPOP,3.813559322
CAN,2018,ICISCDSR,F,Y65T74,CRUDE_RATE_MPOP,4.714640199
CAN,2018,ICISCDSR,F,Y75T84,CRUDE_RATE_MPOP,4.931972789
CAN,2018,ICISCDSR,F,Y_GE85,CRUDE_RATE_MPOP,4.136690647
CAN,2018,ICISCDSR,T,Y45T54,CRUDE_RATE_MPOP,3.886925795
CAN,2018,ICISCDSR,T,Y55T64,CRUDE_RATE_MPOP,4.610951009
CAN,2018,ICISCDSR,T,Y65T74,CRUDE_RATE_MPOP,4.901960784
CAN,2018,ICISCDSR,T,Y75T84,CRUDE_RATE_MPOP,5.163511188
